"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5_llt_drift","Retinopathy","Age","90+",390,659.768,13.3036,819.504,656.267,41.8,87.9
"nb5_llt_drift","Retinopathy","Region","North",720,61.207,8.6548,173.016,11.085,88.3,98.1
"nb5_llt_drift","Retinopathy","Region","Northeast",945,155.903,1.4825,317.997,63.295,84.1,97.1
"nb5_llt_drift","Retinopathy","Region","Center-West",420,196.055,2.4031,420.692,72.087,88.1,98.8
"nb5_llt_drift","Retinopathy","Region","Southeast",420,175.715,0.7674,345.639,73.741,86,98.8
"nb5_llt_drift","Retinopathy","Region","South",315,221.254,0.7267,425.939,85.745,88.3,98.4
"nb5_llt_drift","Eye & Appendage Diseases","Age","25-34",405,36.388,0.6218,54.48,17.621,90.9,99
"nb5_llt_drift","Eye & Appendage Diseases","Age","35-44",405,71.076,0.7968,105.246,64.776,90.9,99.3
"nb5_llt_drift","Eye & Appendage Diseases","Age","45-54",405,97.708,0.67,146.392,87.506,98,100
"nb5_llt_drift","Eye & Appendage Diseases","Age","55-64",405,103.113,0.8161,143.416,-49.217,97.5,100
"nb5_llt_drift","Eye & Appendage Diseases","Age","65-74",405,619.738,1.6939,948.579,-598.147,73.3,97.3
"nb5_llt_drift","Eye & Appendage Diseases","Age","75-89",405,925.954,3.1495,1601.997,-795.699,80.2,96.3
"nb5_llt_drift","Eye & Appendage Diseases","Age","90+",405,2071.794,15.2299,2534.661,2065.641,52.1,89.4
"nb5_llt_drift","Eye & Appendage Diseases","Region","North",735,326.029,10.8759,799.356,-4.463,81.8,96.5
"nb5_llt_drift","Eye & Appendage Diseases","Region","Northeast",945,522.753,0.6792,1032.096,131.333,82,96.9
"nb5_llt_drift","Eye & Appendage Diseases","Region","Center-West",420,912.605,0.6507,1874.79,156.455,83.1,97.9
"nb5_llt_drift","Eye & Appendage Diseases","Region","Southeast",420,720.448,0.5383,1287.332,102.832,84.5,99
"nb5_llt_drift","Eye & Appendage Diseases","Region","South",315,541.024,0.5431,1098.177,289.604,89.2,97.5
"nb5_llt_drift_expo","Glaucoma","Age","25-34",345,2.417,1.0816,3.693,1.597,91.6,98
"nb5_llt_drift_expo","Glaucoma","Age","35-44",390,3.21,0.9314,4.991,2.487,97.4,99.7
"nb5_llt_drift_expo","Glaucoma","Age","45-54",390,3.68,0.8637,5.534,1.418,98.5,100
"nb5_llt_drift_expo","Glaucoma","Age","55-64",375,9.01,1.0068,14.567,-6.454,95.2,99.2
"nb5_llt_drift_expo","Glaucoma","Age","65-74",405,28.293,1.6254,47.89,-24.918,83.7,99.3
"nb5_llt_drift_expo","Glaucoma","Age","75-89",375,33.239,2.8605,58.432,-21.813,94.7,99.5
"nb5_llt_drift_expo","Glaucoma","Age","90+",345,136.385,12.1428,192.763,134.464,76.8,95.7
"nb5_llt_drift_expo","Glaucoma","Region","North",570,12.703,5.6785,32.035,3.516,95.8,98.9
"nb5_llt_drift_expo","Glaucoma","Region","Northeast",900,28.956,2.3259,79.548,10.632,90.1,99.1
"nb5_llt_drift_expo","Glaucoma","Region","Center-West",420,41.602,2.8516,93.438,13.087,91.2,99
"nb5_llt_drift_expo","Glaucoma","Region","Southeast",420,31.215,1.2729,67.237,7.736,89.5,99
"nb5_llt_drift_expo","Glaucoma","Region","South",315,44.418,0.9798,102.182,23.663,88.9,97.1
"nb5_llt_drift_expo","Retinopathy","Age","25-34",405,14.642,1.2868,20.058,13.808,93.6,100
"nb5_llt_drift_expo","Retinopathy","Age","35-44",405,20.804,1.0823,28.701,20.249,98.5,100
"nb5_llt_drift_expo","Retinopathy","Age","45-54",405,14.816,0.7814,21.357,6.705,99.8,100
"nb5_llt_drift_expo","Retinopathy","Age","55-64",405,86.55,1.3364,118.056,-83.735,89.1,99
"nb5_llt_drift_expo","Retinopathy","Age","65-74",405,173.466,1.713,237.152,-169.694,82.2,99.3
"nb5_llt_drift_expo","Retinopathy","Age","75-89",405,85.23,3.7787,138.09,-34.23,98.3,99.5
"nb5_llt_drift_expo","Retinopathy","Age","90+",390,658.788,13.3795,818.885,655.153,42.8,86.9
"nb5_llt_drift_expo","Retinopathy","Region","North",720,61.169,8.7363,171.418,10.892,88.2,98.1
"nb5_llt_drift_expo","Retinopathy","Region","Northeast",945,155.686,1.482,318.193,62.775,84,97.4
"nb5_llt_drift_expo","Retinopathy","Region","Center-West",420,196.394,2.4256,422.706,73.776,88.1,98.8
"nb5_llt_drift_expo","Retinopathy","Region","Southeast",420,175.092,0.7647,341.135,71.756,86.4,98.1
"nb5_llt_drift_expo","Retinopathy","Region","South",315,221.962,0.7261,427.59,86.44,88.6,97.5
"nb5_llt_drift_expo","Eye & Appendage Diseases","Age","25-34",405,36.048,0.6198,53.695,17.33,89.9,99
"nb5_llt_drift_expo","Eye & Appendage Diseases","Age","35-44",405,70.575,0.7961,104.47,64.107,91.4,98.8
"nb5_llt_drift_expo","Eye & Appendage Diseases","Age","45-54",405,97.778,0.6633,145.544,87.057,97.5,100
"nb5_llt_drift_expo","Eye & Appendage Diseases","Age","55-64",405,102.408,0.8178,143.339,-48.549,97.8,100
"nb5_llt_drift_expo","Eye & Appendage Diseases","Age","65-74",405,620.669,1.7016,947.775,-598.685,73.6,97
"nb5_llt_drift_expo","Eye & Appendage Diseases","Age","75-89",405,926.61,3.1392,1604.038,-798.289,80.5,95.6
"nb5_llt_drift_expo","Eye & Appendage Diseases","Age","90+",405,2072.806,15.4471,2537.834,2066.29,54.1,89.4
"nb5_llt_drift_expo","Eye & Appendage Diseases","Region","North",735,324.677,10.9951,793.367,-4.654,81.1,96.3
"nb5_llt_drift_expo","Eye & Appendage Diseases","Region","Northeast",945,520.118,0.6754,1025.388,130.362,82.1,96.7
"nb5_llt_drift_expo","Eye & Appendage Diseases","Region","Center-West",420,913.539,0.6472,1875.685,150.057,85,96.7
"nb5_llt_drift_expo","Eye & Appendage Diseases","Region","Southeast",420,725.874,0.5384,1309.282,105.194,84.5,99.5
"nb5_llt_drift_expo","Eye & Appendage Diseases","Region","South",315,545.045,0.5468,1102.572,294.202,90.2,97.5
"nb5_tight_sigma","Glaucoma","Age","25-34",345,2.377,1.0725,3.614,1.544,91,98
"nb5_tight_sigma","Glaucoma","Age","35-44",390,3.185,0.9256,4.899,2.452,98.2,100
"nb5_tight_sigma","Glaucoma","Age","45-54",390,3.655,0.841,5.539,1.34,99,100
"nb5_tight_sigma","Glaucoma","Age","55-64",375,8.969,1.0224,14.358,-6.415,95.5,99.2
"nb5_tight_sigma","Glaucoma","Age","65-74",405,28.199,1.5688,47.954,-24.919,83.7,99
"nb5_tight_sigma","Glaucoma","Age","75-89",375,33.057,2.7962,58.466,-21.754,94.9,99.5
"nb5_tight_sigma","Glaucoma","Age","90+",345,136.463,12.0703,192.892,134.644,74.8,96.2
"nb5_tight_sigma","Glaucoma","Region","North",570,12.483,5.5336,30.971,3.306,95.6,99.3
"nb5_tight_sigma","Glaucoma","Region","Northeast",900,28.98,2.3295,79.806,10.624,90.3,99.1
"nb5_tight_sigma","Glaucoma","Region","Center-West",420,41.556,2.8504,93.249,13.061,89.8,98.8
"nb5_tight_sigma","Glaucoma","Region","Southeast",420,31.055,1.266,67.034,7.846,89.8,98.8
"nb5_tight_sigma","Glaucoma","Region","South",315,44.616,0.9876,102.89,24.068,89.5,97.8
"nb5_tight_sigma","Retinopathy","Age","25-34",405,14.621,1.2845,19.873,13.8,92.6,100
"nb5_tight_sigma","Retinopathy","Age","35-44",405,20.5,1.0759,27.996,19.919,98.5,100
"nb5_tight_sigma","Retinopathy","Age","45-54",405,14.38,0.7857,20.669,6.439,99.8,100
"nb5_tight_sigma","Retinopathy","Age","55-64",405,87.493,1.3314,120.004,-84.713,89.9,98.5
"nb5_tight_sigma","Retinopathy","Age","65-74",405,174.891,1.7167,240.171,-171.064,81,98.5
"nb5_tight_sigma","Retinopathy","Age","75-89",405,86.53,3.705,141.787,-36.346,98.5,99.3
"nb5_tight_sigma","Retinopathy","Age","90+",390,659.292,13.2513,818.279,655.762,41,88.5
"nb5_tight_sigma","Retinopathy","Region","North",720,60.607,8.5869,167.03,9.371,87.6,97.8
"nb5_tight_sigma","Retinopathy","Region","Northeast",945,156.178,1.4848,318.631,62.664,83.9,97.2
"nb5_tight_sigma","Retinopathy","Region","Center-West",420,196.992,2.4692,423.202,72.126,87.1,98.6
"nb5_tight_sigma","Retinopathy","Region","Southeast",420,176.57,0.7736,344.206,72.259,86,98.6
"nb5_tight_sigma","Retinopathy","Region","South",315,223.368,0.7284,429.51,86.015,88.3,98.1
"nb5_tight_sigma","Eye & Appendage Diseases","Age","25-34",405,35.724,0.6176,53.094,17.304,90.9,98.5
"nb5_tight_sigma","Eye & Appendage Diseases","Age","35-44",405,69.914,0.7958,102.986,63.446,92.6,99.5
"nb5_tight_sigma","Eye & Appendage Diseases","Age","45-54",405,97.573,0.6763,146.341,87.448,98.5,100
"nb5_tight_sigma","Eye & Appendage Diseases","Age","55-64",405,103.06,0.8293,144.436,-49.797,98,100
"nb5_tight_sigma","Eye & Appendage Diseases","Age","65-74",405,619.275,1.7113,943.557,-596.991,73.6,96.8
"nb5_tight_sigma","Eye & Appendage Diseases","Age","75-89",405,929.618,3.1511,1613.462,-801.607,79,96
"nb5_tight_sigma","Eye & Appendage Diseases","Age","90+",405,2053.871,15.6673,2501.877,2047.644,52.8,87.7
"nb5_tight_sigma","Eye & Appendage Diseases","Region","North",735,324.792,11.1457,795.467,-6.776,81.9,95.2
"nb5_tight_sigma","Eye & Appendage Diseases","Region","Northeast",945,517.845,0.673,1022.428,127.204,82.5,96.9
"nb5_tight_sigma","Eye & Appendage Diseases","Region","Center-West",420,909.411,0.6445,1860.622,147.619,84,97.6
"nb5_tight_sigma","Eye & Appendage Diseases","Region","Southeast",420,721.815,0.542,1282.747,102.39,84,99.3
"nb5_tight_sigma","Eye & Appendage Diseases","Region","South",315,539.551,0.5405,1090.314,287.573,89.8,96.8
"nb5_drift_tight","Glaucoma","Age","25-34",345,2.407,1.0846,3.671,1.593,91,98
"nb5_drift_tight","Glaucoma","Age","35-44",390,3.159,0.9204,4.837,2.422,97.9,99.7
"nb5_drift_tight","Glaucoma","Age","45-54",390,3.607,0.8467,5.344,1.315,98.7,100
"nb5_drift_tight","Glaucoma","Age","55-64",375,8.943,1.0246,14.327,-6.355,95.2,99.2
"nb5_drift_tight","Glaucoma","Age","65-74",405,28.221,1.5514,48.013,-24.945,84.4,98.8
"nb5_drift_tight","Glaucoma","Age","75-89",375,33.466,2.8379,58.849,-21.988,94.9,99.5
"nb5_drift_tight","Glaucoma","Age","90+",345,136.868,12.0055,193.627,134.942,75.9,96.8
"nb5_drift_tight","Glaucoma","Region","North",570,12.448,5.4894,30.688,3.258,96.1,98.9
"nb5_drift_tight","Glaucoma","Region","Northeast",900,29.078,2.348,79.73,10.551,90,99.3
"nb5_drift_tight","Glaucoma","Region","Center-West",420,42.067,2.8475,94.817,13.242,91.4,98.6
"nb5_drift_tight","Glaucoma","Region","Southeast",420,31.049,1.2742,66.832,7.674,89.5,99
"nb5_drift_tight","Glaucoma","Region","South",315,44.595,0.9801,103.263,24.422,88.9,97.8
"nb5_drift_tight","Retinopathy","Age","25-34",405,14.707,1.2885,20.101,13.934,93.6,99.5
"nb5_drift_tight","Retinopathy","Age","35-44",405,20.752,1.081,28.468,20.206,98.5,99.8
"nb5_drift_tight","Retinopathy","Age","45-54",405,14.394,0.7959,20.8,6.586,99.5,100
"nb5_drift_tight","Retinopathy","Age","55-64",405,87.707,1.352,119.952,-84.863,88.9,98.5
"nb5_drift_tight","Retinopathy","Age","65-74",405,174.398,1.714,239.322,-170.633,81,99
"nb5_drift_tight","Retinopathy","Age","75-89",405,86.393,3.6583,139.929,-34.571,98.8,99.5
"nb5_drift_tight","Retinopathy","Age","90+",390,657.455,13.4687,815.761,653.874,41,89.7
"nb5_drift_tight","Retinopathy","Region","North",720,60.986,8.7383,169.648,10.193,88.5,97.8
"nb5_drift_tight","Retinopathy","Region","Northeast",945,156.101,1.4861,318.165,62.406,83.3,97.6
"nb5_drift_tight","Retinopathy","Region","Center-West",420,196.63,2.4068,423.722,73.909,87.1,99
"nb5_drift_tight","Retinopathy","Region","Southeast",420,176.54,0.7695,342.1,72.507,86.2,98.3
"nb5_drift_tight","Retinopathy","Region","South",315,220.9,0.7243,422.422,83.24,87.9,98.4
"nb5_drift_tight","Eye & Appendage Diseases","Age","25-34",405,35.714,0.6155,52.977,16.906,91.1,99.3
"nb5_drift_tight","Eye & Appendage Diseases","Age","35-44",405,70.059,0.7898,103.43,63.574,91.1,99.5
"nb5_drift_tight","Eye & Appendage Diseases","Age","45-54",405,96.929,0.6653,145.038,86.271,97.8,100
"nb5_drift_tight","Eye & Appendage Diseases","Age","55-64",405,101.536,0.8222,142.193,-50.842,98,100
"nb5_drift_tight","Eye & Appendage Diseases","Age","65-74",405,622.474,1.6973,949.67,-600.019,73.1,96.5
"nb5_drift_tight","Eye & Appendage Diseases","Age","75-89",405,936.75,3.0946,1625.261,-804.548,80.5,96
"nb5_drift_tight","Eye & Appendage Diseases","Age","90+",405,2065.391,15.5088,2524.357,2059.048,54.3,88.4
"nb5_drift_tight","Eye & Appendage Diseases","Region","North",735,325.844,10.9969,799.542,-10.257,81.5,95.8
"nb5_drift_tight","Eye & Appendage Diseases","Region","Northeast",945,521.68,0.6768,1030.624,127.013,82,96.9
"nb5_drift_tight","Eye & Appendage Diseases","Region","Center-West",420,911.771,0.6498,1875.113,152.037,85,97.4
"nb5_drift_tight","Eye & Appendage Diseases","Region","Southeast",420,725.07,0.5374,1296.338,102.201,84.8,99.3
"nb5_drift_tight","Eye & Appendage Diseases","Region","South",315,543.586,0.5474,1101.042,294.412,90.8,97.5
"nb5_llt_damped","Glaucoma","Age","25-34",345,2.396,1.0829,3.659,1.572,91,98
"nb5_llt_damped","Glaucoma","Age","35-44",390,3.186,0.9319,4.905,2.443,97.4,99.5
"nb5_llt_damped","Glaucoma","Age","45-54",390,3.7,0.8632,5.516,1.379,98.5,100
"nb5_llt_damped","Glaucoma","Age","55-64",375,9.025,1.0255,14.581,-6.39,94.4,99.2
"nb5_llt_damped","Glaucoma","Age","65-74",405,28.34,1.5987,48.049,-24.953,84.2,98.5
"nb5_llt_damped","Glaucoma","Age","75-89",375,33.582,2.876,59.059,-21.837,94.9,99.2
"nb5_llt_damped","Glaucoma","Age","90+",345,135.99,12.1737,191.886,134.121,76.5,94.8
"nb5_llt_damped","Glaucoma","Region","North",570,12.598,5.6418,31.177,3.34,95.4,98.9
"nb5_llt_damped","Glaucoma","Region","Northeast",900,28.836,2.3357,78.419,10.29,89.8,98.8
"nb5_llt_damped","Glaucoma","Region","Center-West",420,41.331,2.8819,92.711,12.941,91.7,98.6
"nb5_llt_damped","Glaucoma","Region","Southeast",420,31.266,1.2934,67.494,7.866,89,98.8
"nb5_llt_damped","Glaucoma","Region","South",315,45.267,0.9923,104.496,24.475,89.5,96.5
"nb5_llt_damped","Retinopathy","Age","25-34",405,14.6,1.2859,19.813,13.764,93.8,100
"nb5_llt_damped","Retinopathy","Age","35-44",405,20.81,1.0957,28.377,20.274,99.3,100
"nb5_llt_damped","Retinopathy","Age","45-54",405,14.181,0.8047,20.333,6.151,99.8,100
"nb5_llt_damped","Retinopathy","Age","55-64",405,86.837,1.3397,119.154,-84.083,88.6,98.5
"nb5_llt_damped","Retinopathy","Age","65-74",405,174.576,1.724,240.135,-170.826,83,99
"nb5_llt_damped","Retinopathy","Age","75-89",405,85.744,3.7293,140.958,-35.196,98.3,99.5
"nb5_llt_damped","Retinopathy","Age","90+",390,660.037,13.3483,819.115,656.749,41.8,89.7
"nb5_llt_damped","Retinopathy","Region","North",720,60.837,8.7438,169.14,10.249,88.3,98.5
"nb5_llt_damped","Retinopathy","Region","Northeast",945,156.389,1.4698,321.077,63.259,84.3,97.6
"nb5_llt_damped","Retinopathy","Region","Center-West",420,196.378,2.405,418.882,72.389,87.6,98.6
"nb5_llt_damped","Retinopathy","Region","Southeast",420,175.421,0.7689,342.506,72.053,86.2,98.6
"nb5_llt_damped","Retinopathy","Region","South",315,223.339,0.7302,430.913,86.005,88.6,98.1
"nb5_llt_damped","Eye & Appendage Diseases","Age","25-34",405,35.466,0.6227,52.748,16.617,90.1,99.5
"nb5_llt_damped","Eye & Appendage Diseases","Age","35-44",405,69.755,0.7949,102.726,63.185,90.9,99
"nb5_llt_damped","Eye & Appendage Diseases","Age","45-54",405,97.303,0.6691,145.836,86.385,97.5,100
"nb5_llt_damped","Eye & Appendage Diseases","Age","55-64",405,106.638,0.8306,149.001,-52.659,98,100
"nb5_llt_damped","Eye & Appendage Diseases","Age","65-74",405,625.029,1.8228,951.809,-601.942,71.4,96
"nb5_llt_damped","Eye & Appendage Diseases","Age","75-89",405,935.863,3.1344,1616.618,-801.271,80,95.6
"nb5_llt_damped","Eye & Appendage Diseases","Age","90+",405,2072.198,15.6427,2528.129,2065.12,54.6,88.1
"nb5_llt_damped","Eye & Appendage Diseases","Region","North",735,326.008,11.1635,790.587,-5.71,81.2,95.8
"nb5_llt_damped","Eye & Appendage Diseases","Region","Northeast",945,522.955,0.6804,1032.393,128.42,81.9,96.8
"nb5_llt_damped","Eye & Appendage Diseases","Region","Center-West",420,919.227,0.6619,1880.504,153.378,83.1,96.4
"nb5_llt_damped","Eye & Appendage Diseases","Region","Southeast",420,729.876,0.541,1301.238,101.03,84.8,99.3
"nb5_llt_damped","Eye & Appendage Diseases","Region","South",315,540.255,0.5432,1089.468,285.842,89.8,97.1
"nb5_ar1","Glaucoma","Age","25-34",345,2.362,1.0561,3.644,1.54,91.3,98
"nb5_ar1","Glaucoma","Age","35-44",390,3.105,0.8684,4.827,2.36,98.2,99.7
"nb5_ar1","Glaucoma","Age","45-54",390,3.54,0.755,5.303,1.092,98.2,100
"nb5_ar1","Glaucoma","Age","55-64",375,8.928,0.9108,14.446,-6.69,94.9,98.9
"nb5_ar1","Glaucoma","Age","65-74",405,27.991,1.1919,47.793,-25.586,85.4,98.5
"nb5_ar1","Glaucoma","Age","75-89",375,33.258,2.3597,58.935,-23.302,95.2,99.2
"nb5_ar1","Glaucoma","Age","90+",345,133.516,10.8019,189.881,131.417,74.8,95.7
"nb5_ar1","Glaucoma","Region","North",570,11.426,4.3199,30.657,1.934,95.3,99.1
"nb5_ar1","Glaucoma","Region","Northeast",900,28.703,2.2492,78.21,9.922,90.7,98.7
"nb5_ar1","Glaucoma","Region","Center-West",420,41.154,2.6848,92.106,12.093,90.5,98.6
"nb5_ar1","Glaucoma","Region","Southeast",420,30.975,1.2301,66.227,7.286,89.8,99
"nb5_ar1","Glaucoma","Region","South",315,44.402,0.9598,102.715,23.604,89.5,97.1
"nb5_ar1","Retinopathy","Age","25-34",405,14.558,1.232,19.941,13.743,92.8,100
"nb5_ar1","Retinopathy","Age","35-44",405,20.679,1.0166,28.524,20.121,98.3,99.8
"nb5_ar1","Retinopathy","Age","45-54",405,14.161,0.6981,20.363,6.5,99.8,100
"nb5_ar1","Retinopathy","Age","55-64",405,88.169,1.1883,120.368,-85.894,90.1,99
"nb5_ar1","Retinopathy","Age","65-74",405,176.44,1.5265,241.196,-173.254,77.5,99.3
"nb5_ar1","Retinopathy","Age","75-89",405,85.168,3.2979,141.105,-39.576,98.3,99.8
"nb5_ar1","Retinopathy","Age","90+",390,645.04,12.362,801.056,641.614,42.3,89.7
"nb5_ar1","Retinopathy","Region","North",720,59.856,7.7333,167.48,8.973,87.9,98.5
"nb5_ar1","Retinopathy","Region","Northeast",945,154.575,1.4603,313.169,59.103,82.4,98
"nb5_ar1","Retinopathy","Region","Center-West",420,193.602,2.2778,411.623,68.397,88.1,98.3
"nb5_ar1","Retinopathy","Region","Southeast",420,174.254,0.7584,337.037,68.637,85.5,98.8
"nb5_ar1","Retinopathy","Region","South",315,220.83,0.7192,424.126,81.671,88.6,97.8
"nb5_ar1","Eye & Appendage Diseases","Age","25-34",405,36.075,0.6191,53.494,17.045,89.1,99.5
"nb5_ar1","Eye & Appendage Diseases","Age","35-44",405,69.762,0.7889,102.918,63.281,91.6,99.3
"nb5_ar1","Eye & Appendage Diseases","Age","45-54",405,96.309,0.6415,145.076,85.552,97.8,100
"nb5_ar1","Eye & Appendage Diseases","Age","55-64",405,103.095,0.7778,144.177,-52.307,97.8,100
"nb5_ar1","Eye & Appendage Diseases","Age","65-74",405,625.393,1.6877,951.761,-605.134,74.1,96.8
"nb5_ar1","Eye & Appendage Diseases","Age","75-89",405,935.589,3.0017,1618.743,-811.208,80.5,95.8
"nb5_ar1","Eye & Appendage Diseases","Age","90+",405,2037.504,14.9155,2479.708,2031.284,53.3,88.4
"nb5_ar1","Eye & Appendage Diseases","Region","North",735,322.752,10.5914,795.335,-12.655,81.4,96.2
"nb5_ar1","Eye & Appendage Diseases","Region","Northeast",945,516.157,0.6678,1017.625,121.593,81.7,96.9
"nb5_ar1","Eye & Appendage Diseases","Region","Center-West",420,906.716,0.6458,1841.357,137.145,84.5,97.6
"nb5_ar1","Eye & Appendage Diseases","Region","Southeast",420,725.03,0.5416,1288.871,102.885,85.5,98.6
"nb5_ar1","Eye & Appendage Diseases","Region","South",315,541.854,0.5417,1091.868,281.372,89.5,97.1
"nb5_ar1_hier","Glaucoma","Age","25-34",345,2.333,1.0489,3.578,1.513,91.3,98.3
"nb5_ar1_hier","Glaucoma","Age","35-44",390,3.067,0.862,4.749,2.322,97.9,99.7
"nb5_ar1_hier","Glaucoma","Age","45-54",390,3.55,0.7737,5.4,1.149,98.5,100
"nb5_ar1_hier","Glaucoma","Age","55-64",375,8.957,0.9168,14.571,-6.76,95.2,99.2
"nb5_ar1_hier","Glaucoma","Age","65-74",405,28.19,1.2445,48.265,-25.642,84.4,98.5
"nb5_ar1_hier","Glaucoma","Age","75-89",375,33.227,2.446,58.876,-22.833,95.7,99.5
"nb5_ar1_hier","Glaucoma","Age","90+",345,133.906,11.012,190.514,131.802,79.1,95.1
"nb5_ar1_hier","Glaucoma","Region","North",570,11.607,4.5284,30.33,2.145,95.4,98.9
"nb5_ar1_hier","Glaucoma","Region","Northeast",900,28.733,2.253,78.569,10.014,91.3,98.9
"nb5_ar1_hier","Glaucoma","Region","Center-West",420,41.089,2.7106,92.234,12.435,91.2,99
"nb5_ar1_hier","Glaucoma","Region","Southeast",420,30.973,1.2206,65.913,6.879,90.2,99
"nb5_ar1_hier","Glaucoma","Region","South",315,44.691,0.9652,103.765,23.866,90.2,96.5
"nb5_ar1_hier","Retinopathy","Age","25-34",405,14.659,1.2453,19.963,13.832,93.8,100
"nb5_ar1_hier","Retinopathy","Age","35-44",405,20.72,1.0332,28.441,20.167,98.5,100
"nb5_ar1_hier","Retinopathy","Age","45-54",405,13.84,0.7162,19.931,6.222,100,100
"nb5_ar1_hier","Retinopathy","Age","55-64",405,87.332,1.2335,119.073,-84.965,89.9,99
"nb5_ar1_hier","Retinopathy","Age","65-74",405,176.309,1.5329,242.269,-173.228,81,99.8
"nb5_ar1_hier","Retinopathy","Age","75-89",405,86.103,3.3348,141.952,-39.136,98.8,99.8
"nb5_ar1_hier","Retinopathy","Age","90+",390,644.786,12.4541,800.215,641.255,42.1,90.3
"nb5_ar1_hier","Retinopathy","Region","North",720,59.63,7.8875,165.896,8.443,88.6,98.8
"nb5_ar1_hier","Retinopathy","Region","Northeast",945,154.594,1.4433,315.091,60.778,84.2,97.9
"nb5_ar1_hier","Retinopathy","Region","Center-West",420,193.268,2.2658,410.673,67.28,87.9,98.8
"nb5_ar1_hier","Retinopathy","Region","Southeast",420,174.427,0.7623,335.79,68.479,85.7,98.6
"nb5_ar1_hier","Retinopathy","Region","South",315,220.921,0.718,422.502,80.724,87.9,98.7
"nb5_ar1_hier","Eye & Appendage Diseases","Age","25-34",405,36.072,0.612,53.878,17.136,91.1,99
